venda_id,data_venda,produto_id,quantidade_vendida,preco_venda_unitario,canal_venda,foi_promocao,evento_lancamento,observacao_demanda
1,2025-11-19,2,1,49.12,Site,0,1,Pico
2,2025-11-19,5,1,142.97,Site,0,0,Normal
3,2025-11-19,7,1,266.03,Marketplace,0,0,Normal
4,2025-11-19,10,5,27.39,Site,1,0,Pico
5,2025-11-19,11,1,38.05,Marketplace,0,0,Normal
6,2025-11-19,19,1,38.6,Loja Física,0,0,Normal
7,2025-11-19,20,3,28.75,Site,0,0,Normal
8,2025-11-19,21,6,145.78,Site,1,0,Pico
9,2025-11-19,22,1,50.95,Site,0,0,Normal
10,2025-11-19,23,1,51.77,Site,0,0,Pico
11,2025-11-19,24,1,96.04,Site,0,0,Normal
12,2025-11-19,25,1,34.77,Site,0,0,Normal
13,2025-11-19,28,3,31.52,Marketplace,0,0,Normal
14,2025-11-19,31,3,141.33,Loja Física,0,0,Pico
15,2025-11-19,33,4,43.42,Site,0,1,Pico
16,2025-11-19,34,1,54.42,Marketplace,0,0,Pico
17,2025-11-19,35,1,88.74,Loja Física,0,0,Normal
18,2025-11-19,39,2,22.78,Loja Física,1,0,Pico
19,2025-11-19,43,2,44.66,Site,0,0,Normal
20,2025-11-19,45,1,41.05,Marketplace,0,0,Normal
21,2025-11-19,48,3,90.54,Site,0,1,Pico
22,2025-11-19,50,2,21.66,Marketplace,0,0,Normal
23,2025-11-19,55,1,20.21,Marketplace,0,0,Normal
24,2025-11-19,62,1,148.68,SITE,0,0,Pico
25,2025-11-19,63,1,123.11,Loja Física,0,0,Pico
26,2025-11-19,66,1,115.56,Site,0,0,Normal
27,2025-11-19,70,2,37.97,Marketplace,0,0,Normal
28,2025-11-19,72,1,119.72,Site,0,0,Normal
29,2025-11-19,75,1,64.27,Site,0,0,Normal
30,2025-11-19,81,1,243.96,Marketplace,0,0,Normal
31,2025-11-19,82,1,224.25,loja fisica,0,0,Normal
32,2025-11-19,86,1,40.16,Site,0,0,Pico
33,2025-11-19,87,1,111.12,Site,0,0,Normal
34,2025-11-19,89,36,21.63,Site,0,0,Pico
35,2025-11-19,93,1,141.99,Site,0,0,Normal
36,2025-11-19,97,2,42.66,Site,0,0,Pico
37,2025-11-19,98,1,126.05,Marketplace,0,0,Normal
38,2025-11-19,101,1,22.67,Site,0,0,Normal
39,2025-11-19,102,2,142.36,Site,0,0,Normal
40,2025-11-19,103,1,91.19,Site,0,0,Pico
41,2025-11-19,106,1,99.49,Site,0,0,Normal
42,2025-11-19,110,1,7.66,LOJA FÍSICA,0,0,Normal
43,2025-11-19,119,1,23.27,Marketplace,0,0,Normal
44,2025-11-19,122,1,148.8,Marketplace,0,0,Normal
45,2025-11-19,125,1,36.47,Loja Física,0,0,Pico
46,2025-11-19,127,1,116.72,Marketplace,0,0,Normal
47,2025-11-19,132,3,120.97,Marketplace,0,0,Pico
48,2025-11-19,134,2,44.85,Site,0,0,Normal
49,2025-11-19,138,1,26.78,Loja Física,0,0,Normal
50,2025-11-19,139,1,69.72,Site,0,0,Pico
51,2025-11-19,142,1,85.3,Site,0,0,Normal
52,2025-11-19,147,2,21.44,Site,0,1,Pico
53,2025-11-19,150,2,28.09,Marketplace,0,1,Pico
54,2025-11-19,151,3,23.44,Marketplace,0,0,Pico
55,2025-11-19,157,1,36.41,Site,0,0,Normal
56,2025-11-19,169,1,21.4,Site,0,0,Normal
57,2025-11-19,171,1,21.43,Site,0,0,Normal
58,2025-11-19,177,2,259.25,Site,0,0,Pico
59,2025-11-19,180,1,120.02,Marketplace,0,0,Normal
60,2025-11-19,182,2,42.05,Site,0,1,Pico
61,2025-11-19,185,2,38.45,Site,0,0,Normal
62,2025-11-19,188,1,71.75,Loja Física,0,0,Normal
63,2025-11-19,191,1,112.76,Site,0,0,Pico
64,2025-11-19,192,5,43.83,Marketplace,0,1,Pico
65,2025-11-19,194,2,25.94,Site,0,1,Pico
66,2025-11-19,204,2,42.24,Site,0,0,Normal
67,2025-11-19,207,1,8.39,Marketplace,0,0,Pico
68,2025-11-19,208,1,62.78,Site,0,0,Normal
69,2025-11-19,212,2,31.67,Marketplace,0,0,Pico
70,2025-11-19,213,1,31.03,Site,0,0,Pico
71,2025-11-19,216,1,81.64,Site,0,0,Normal
72,2025-11-19,219,1,21.26,Site,0,0,Normal
73,2025-11-19,220,1,127.12,Site,0,0,Normal
74,2025-11-19,222,1,212.12,Site,0,0,Normal
75,2025-11-19,227,1,31.97,Marketplace,0,0,Normal
76,2025-11-19,229,5,33.6,Marketplace,0,0,Pico
77,2025-11-19,230,1,34.88,Marketplace,0,0,Normal
78,2025-11-19,232,1,87.74,Site,0,0,Normal
79,2025-11-19,234,2,99.39,Site,0,0,Normal
80,2025-11-19,235,3,81.45,Marketplace,0,0,Pico
81,2025-11-19,236,1,32.43,Marketplace,0,0,Normal
82,2025-11-19,238,2,33.18,Marketplace,0,0,Pico
83,2025-11-19,239,2,42.98,Site,1,0,Pico
84,2025-11-19,242,1,63.4,Site,0,0,Pico
85,2025-11-19,243,1,21.44,Loja Física,0,1,Pico
86,2025-11-19,245,4,86.68,Site,0,0,Pico
87,2025-11-19,247,1,21.19,Site,0,1,Pico
88,2025-11-20,2,3,49.12,Marketplace,0,1,Pico
89,2025-11-20,11,1,38.05,Site,0,0,Normal
90,2025-11-20,19,2,38.6,Marketplace,0,0,Normal
91,2025-11-20,23,3,51.77,Marketplace,0,0,Pico
92,2025-11-20,26,1,17.38,LOJA FÍSICA,0,0,Normal
93,2025-11-20,31,1,141.33,Site,0,0,Pico
94,2025-11-20,33,4,43.42,Marketplace,1,1,Pico
95,2025-11-20,37,1,25.73,Site,0,0,Normal
96,2025-11-20,39,1,22.78,Loja Física,0,0,Pico
97,2025-11-20,40,3,31.94,Site,1,0,Pico
98,2025-11-20,41,1,138.27,Site,0,0,Normal
99,2025-11-20,43,3,44.66,Marketplace,0,0,Normal
100,2025-11-20,44,1,138.28,SITE,0,0,Pico
101,2025-11-20,48,1,90.54,Site,0,1,Pico
102,2025-11-20,49,1,42.6,Marketplace,0,0,Normal
103,2025-11-20,52,1,17.86,Site,0,0,Normal
104,2025-11-20,58,1,64.51,Marketplace,0,0,Normal
105,2025-11-20,62,3,148.68,Site,1,0,Pico
106,2025-11-20,63,1,123.11,Marketplace,0,0,Pico
107,2025-11-20,64,4,34.44,Marketplace,1,0,Pico
108,2025-11-20,65,4,39.85,Market Place,1,0,Pico
109,2025-11-20,75,2,64.27,Site,0,0,Normal
110,2025-11-20,81,1,243.96,Site,0,0,Normal
111,2025-11-20,83,1,408.98,Site,0,0,Normal
112,2025-11-20,86,3,40.16,Site,0,0,Pico
113,2025-11-20,91,1,29.96,Site,0,0,Normal
114,2025-11-20,92,3,11.1,Site,0,0,Normal
115,2025-11-20,97,1,42.66,Site,0,0,Pico
116,2025-11-20,98,3,126.05,Marketplace,1,0,Pico
117,2025-11-20,100,1,5.16,Site,0,0,Normal
118,2025-11-20,107,3,187.81,Loja Física,1,0,Pico
